STATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5
USW00014734,2022-01-01,22,,206,0,0,109,128,94,,350,240,76,85
USW00014734,2022-01-02,51,,10,0,0,119,150,22,,320,310,107,148
USW00014734,2022-01-03,77,,0,0,0,3,22,-55,,360,360,134,170
USW00014734,2022-01-04,34,,0,0,0,-39,17,-77,,340,340,81,103
USW00014734,2022-01-05,29,,36,0,0,9,78,-38,,230,190,72,98
USW00014734,2022-01-06,44,,0,0,0,22,33,-5,,270,270,98,130
USW00014734,2022-01-07,68,,69,132,130,-11,6,-49,,290,290,130,157
USW00014734,2022-01-08,34,,0,0,100,-45,-5,-71,,300,300,116,148
USW00014734,2022-01-09,49,,20,0,50,-14,33,-55,,220,230,98,125
USW00014734,2022-01-10,70,,0,0,0,-1,33,-55,,300,310,112,139
USW00014734,2022-01-11,56,,0,0,0,-70,-49,-93,,320,330,125,174
USW00014734,2022-01-12,38,,0,0,0,-39,44,-82,,230,230,107,130
USW00014734,2022-01-13,14,,0,0,0,23,83,-27,,360,360,58,67
USW00014734,2022-01-14,81,,0,0,0,36,67,-60,,350,360,143,174
USW00014734,2022-01-15,60,,0,0,0,-73,-60,-121,,330,320,107,130
USW00014734,2022-01-16,49,,137,25,0,-95,39,-143,,50,70,89,134
USW00014734,2022-01-17,81,,330,0,0,29,67,6,,290,70,148,201
USW00014734,2022-01-18,67,,0,0,0,6,33,-38,,290,290,148,188
USW00014734,2022-01-19,43,,0,0,0,13,94,-43,,200,230,103,139
USW00014734,2022-01-20,56,,64,3,0,29,56,-71,,340,350,103,130
USW00014734,2022-01-21,70,,0,0,0,-73,-49,-105,,10,350,103,121
USW00014734,2022-01-22,42,,0,0,0,-75,-10,-121,,10,10,81,103
USW00014734,2022-01-23,32,,3,8,0,-34,28,-88,,270,260,76,98
USW00014734,2022-01-24,30,,0,0,0,-18,6,-38,,340,330,67,94
USW00014734,2022-01-25,37,,0,0,0,16,56,-32,,290,290,89,107
USW00014734,2022-01-26,55,,0,0,0,-38,-21,-88,,330,320,98,134
USW00014734,2022-01-27,31,,0,0,0,-61,0,-116,,180,200,67,85
USW00014734,2022-01-28,36,,25,36,0,-19,0,-32,,360,10,94,121
USW00014734,2022-01-29,92,,132,168,130,-59,-27,-121,,350,10,139,179
USW00014734,2022-01-30,52,,0,0,150,-93,-43,-121,,300,320,98,134
USW00014734,2022-01-31,18,,0,0,150,-59,-10,-116,,20,310,36,58
USW00014734,2022-02-01,27,,0,0,130,-47,17,-105,,30,30,54,63
USW00014734,2022-02-02,16,,0,0,100,8,67,-43,,120,100,40,54
USW00014734,2022-02-03,13,,109,0,50,43,89,22,,230,230,36,45
USW00014734,2022-02-04,56,,137,3,0,57,128,-27,,350,350,103,125
USW00014734,2022-02-05,74,,0,0,0,-38,-21,-82,,310,290,112,161
USW00014734,2022-02-06,30,,0,0,0,-64,-16,-99,,330,330,63,76
USW00014734,2022-02-07,38,,28,0,0,-8,28,-27,,10,320,63,81
USW00014734,2022-02-08,49,,13,0,0,31,78,-10,,300,300,107,139
USW00014734,2022-02-09,28,,0,0,0,13,72,-38,,120,270,54,72
USW00014734,2022-02-10,38,,0,0,0,56,128,0,,250,250,139,179
USW00014734,2022-02-11,31,,0,0,0,73,156,0,,200,190,103,134
USW00014734,2022-02-12,59,,0,0,0,114,156,56,,260,260,116,161
USW00014734,2022-02-13,52,,43,48,30,22,56,-38,,350,330,98,125
USW00014734,2022-02-14,67,,0,0,30,-52,-32,-88,,320,320,130,148
USW00014734,2022-02-15,36,,0,0,0,-54,0,-88,,280,290,67,98
USW00014734,2022-02-16,24,,0,0,0,2,72,-55,,170,190,67,89
USW00014734,2022-02-17,70,,58,0,0,123,206,61,,200,200,130,174
USW00014734,2022-02-18,86,,38,0,0,110,178,-32,,260,270,215,295
